vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
KMHLM4DG3TU122912,2026,HYUNDAI,Elantra,"SEL Sport, SEL Sport Plus",DEALER_VERIFIED_BY_VIN,95440-AA501,"95440-AA501, 95440-BE060, 95440-IB600YPN, 95440-P6050, 95440-T6AA0",,unknown,86,
KMHLS4DG5TU123100,2026,HYUNDAI,Elantra,SEL Sport Premium,DEALER_VERIFIED_BY_VIN,95440-AA501,"95440-AA501, 95440-BE060, 95440-IB600YPN, 95440-P6050, 95440-T6AA0",,unknown,186,
KM8R3DHC5S9944570,2025,HYUNDAI,Palisade,XRT,DEALER_VERIFIED_BY_VIN,95440-S8520,"95440-S8520, 95440-S8540, 95440-S8550, 95440-S8600",,unknown,293,
KM8R5DHC3SU081016,2025,HYUNDAI,Palisade,Limited,DEALER_VERIFIED_BY_VIN,95440-S8520,"95440-S8520, 95440-S8540, 95440-S8550, 95440-S8600",,unknown,323,
KM8JB3A20SU730675,2025,HYUNDAI,Tucson,SEL,DEALER_VERIFIED_BY_VIN,95440-N9570,"95440-N9570, 95440-N9580",,unknown,416,
5NPEG4JA2S7198656,2025,HYUNDAI,Sonata,SE,DEALER_VERIFIED_BY_VIN,95440-3Q000,"95440-3Q000, 95440-K2450, 95440-L1710, 95440-L1760",,unknown,517,
5NPEL4JA2S5390229,2025,HYUNDAI,Sonata,SEL,DEALER_VERIFIED_BY_VIN,95440-3Q000,"95440-3Q000, 95440-K2450, 95440-L1710, 95440-L1760",,unknown,623,
5NMP34GL2SV743941,2025,HYUNDAI,Santa Fe,XRT,DEALER_VERIFIED_BY_VIN,95440-P6050,"95440-P6050, 95440-S2000",,unknown,725,
KMHLS4DG8SM199473,2025,HYUNDAI,Elantra,SEL Convenience,DEALER_VERIFIED_BY_VIN,95440-AA500,"95440-AA500, 95440-AA501",,unknown,751,
5XYK33AF7SP053232,2025,KIA,Sportage,EX,DEALER_VERIFIED_BY_VIN,95440-P1100,"95440-P1100, 95440-P1110, 95440-P1400",,unknown,769,
5XYK6CDFXSH536579,2025,KIA,Sportage,X-LINE,DEALER_VERIFIED_BY_VIN,95440-P1100,"95440-P1100, 95440-P1110, 95440-P1400, 95440-P1410",,unknown,795,
5XYRH4LF5SJ108945,2025,KIA,Sorento,EX; X-Line EX,DEALER_VERIFIED_BY_VIN,95440-GG000,"95440-GG000, 95440-P2AA0",,unknown,881,
5XYRG4LC6SP038989,2025,KIA,Sorento,LX,DEALER_VERIFIED_BY_VIN,95440-GG000,"95440-GG000, 95440-P2AA0",,unknown,950,
KNDJ33AU7SH761238,2025,KIA,Soul,EX,DEALER_VERIFIED_BY_VIN,95430-K0120,"95430-K0120, 95440-K0320, 95440-K0510",,unknown,968,
KMTG54TE3S6662333,2025,GENESIS,G70,3.3T Sport Advanced (AWD/RWD); 3.3T Sport Prestige (AWD/RWD),DEALER_VERIFIED_BY_VIN,95440-G9720,95440-G9720,,unknown,1071,
KMTG34LE5SC381738,2025,GENESIS,G70,,DEALER_VERIFIED_BY_VIN,95440-G9720,95440-G9720,,unknown,1119,
