vin,year,make,model,trim,status,primary_pn,all_pns,expected_pns,matched,duration_s,error
5N1BT3CA4TC790763,2026,NISSAN,Rogue,SL,DEALER_VERIFIED_BY_VIN,285E3-7LA7E,285E3-7LA7E,,unknown,137,
3N1AB9DV2TY244397,2026,NISSAN,Sentra,SR,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,147,
2T2BAMBA0PC002121,2023,LEXUS,RX,350,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,308,
2T2BAMBA6RC047096,2024,LEXUS,RX,350,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,396,
2T2BAMBA0RC023568,2024,LEXUS,RX,350,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,457,
2T2BAMCA4PC006039,2023,LEXUS,RX,350,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,775,
2T2GDCAZ7RC015661,2024,LEXUS,NX,350 Premium,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,882,
2T2AGCEZ3TC094633,2026,LEXUS,NX,350 Base,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,868,
2T2GGCEZ0RC036384,2024,LEXUS,NX,350 Premium,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1060,
JTJDARBZ5M2179285,2021,LEXUS,NX,300 Comfort,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1046,
58AGZ1B18NU111562,2022,LEXUS,ES,350 F Sport,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1205,
58AGZ1B12MU098872,2021,LEXUS,ES,350 F Sport,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1171,
58ABZ1B1XKU015275,2019,LEXUS,ES,350,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1318,
JF2GUADCXRH303896,2024,SUBARU,Crosstrek,Premium,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1392,
JF2GUHDC6S8235157,2025,SUBARU,Crosstrek,Premium,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1446,
JF2GTALC4JH274033,2018,SUBARU,Crosstrek,Limited+ES+BSD,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1551,
JM3KE2CY8G0623603,2016,MAZDA,CX-5,Touring/GS,DEALER_VERIFIED_BY_VIN,KDY3-67-5DY,KDY3-67-5DY,,unknown,1577,
JM1BPBNY1M1403337,2021,MAZDA,Mazda3,Mazda3 with Premium Plus Package,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1660,
JM1BPACL8T1851543,2026,MAZDA,Mazda3,Preferred,NOT_DEALER_VERIFIED_BY_VIN,,,,unknown,1655,
